Table with row headers in column A and column headers in rows 12 through 14,,,,,,,,,,,
"PINC-03. Educational Attainment--People 25 Years Old and Over, by Total Money Earnings in 2018, Work Experience in 2018, Age, Race, Hispanic Origin, and Sex",,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf>.",,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement.",,,,,,,,,,,
"(Numbers in thousands. People 25 Years Old and Over as of March of the following year. A.O.I.C. stands for alone or in combination.  Median income is calculated using $2,500 income intervals.",,,,,,,,,,,
"The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,
Both Sexes,,,,,,,,,,,
25 Years and Over,,,,,,,,,,,
Characteristic,Total,Less Than 9th Grade,High School,,College,,,,,,
,,,,,Some College No Degree,Associate Degree,Bachelor's Degree or more,,,,
,,,9th to 12th Nongrad,Graduate (Incl GED),,,Total,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree
....Total,"109,564","2,597","4,198","27,325","16,269","12,117","47,057","29,263","12,938","2,074","2,782"
Without Earnings,17,2,1,6,1,5,2,0,2,0,0
With Earnings,"109,547","2,595","4,197","27,320","16,269","12,112","47,055","29,263","12,936","2,074","2,782"
"..$1 to $2,499 or loss",357,24,17,96,68,31,121,95,19,5,2
"..$2,500 to $4,999",97,1,7,39,12,11,27,20,6,0,0
"..$5,000 to $7,499",315,16,41,89,34,27,106,66,28,5,7
"..$7,500 to $9,999",260,14,34,112,27,19,55,44,10,1,0
"..$10,000 to $12,499","1,133",77,119,451,176,119,192,117,55,13,7
"..$12,500 to $14,999",711,67,94,262,105,56,127,97,16,11,4
"..$15,000 to $17,499","1,759",121,254,597,303,169,315,252,44,10,9
"..$17,500 to $19,999","1,607",132,198,613,289,165,209,154,38,9,9
"..$20,000 to $22,499","4,000",361,456,"1,577",631,392,583,462,89,21,12
"..$22,500 to $24,999","2,295",165,211,809,440,294,376,303,64,2,8
"..$25,000 to $27,499","4,642",228,330,"1,821",894,546,824,677,121,16,10
"..$27,500 to $29,999","2,089",99,126,910,348,277,329,237,79,6,8
"..$30,000 to $32,499","6,692",258,402,"2,432","1,295",823,"1,483","1,200",213,25,45
"..$32,500 to $34,999","1,747",50,70,626,344,252,405,317,80,3,5
"..$35,000 to $37,499","5,726",215,335,"2,003","1,008",646,"1,519","1,191",283,24,21
"..$37,500 to $39,999","2,289",69,102,812,441,300,564,430,114,6,15
"..$40,000 to $42,499","6,191",132,304,"2,019","1,009",792,"1,933","1,402",450,37,45
"..$42,500 to $44,999","1,529",22,36,455,286,204,526,376,139,6,5
"..$45,000 to $47,499","4,456",70,140,"1,330",807,627,"1,483","1,066",360,21,36
"..$47,500 to $49,999","2,144",46,66,536,403,277,815,585,196,8,25
"..$50,000 to $52,499","6,825",131,226,"1,818","1,148",922,"2,581","1,673",758,68,82
"..$52,500 to $54,999","1,372",13,35,286,252,169,617,387,211,9,10
"..$55,000 to $57,499","3,552",40,88,807,532,505,"1,579","1,026",457,37,59
"..$57,500 to $59,999","1,257",6,23,221,257,188,563,391,140,10,21
"..$60,000 to $62,499","5,508",63,121,"1,263",812,709,"2,539","1,670",663,91,115
"..$62,500 to $64,999",895,7,22,170,141,103,452,256,165,10,21
"..$65,000 to $67,499","2,846",19,24,645,391,380,"1,387",930,378,23,55
"..$67,500 to $69,999",954,8,9,218,132,138,448,309,109,11,20
"..$70,000 to $72,499","3,316",20,43,626,478,404,"1,746","1,089",528,56,73
"..$72,500 to $74,999",659,4,3,114,75,85,378,215,130,9,24
"..$75,000 to $77,499","2,776",23,38,463,341,299,"1,613","1,070",382,72,89
"..$77,500 to $79,999",811,9,18,128,133,108,416,285,99,15,17
"..$80,000 to $82,499","3,058",14,52,518,410,376,"1,688","1,017",513,67,90
"..$82,500 to $84,999",540,0,1,128,84,52,274,129,116,10,18
"..$85,000 to $87,499","1,753",3,13,238,211,167,"1,120",664,359,48,49
"..$87,500 to $89,999",424,0,6,52,65,47,254,125,93,4,33
"..$90,000 to $92,499","1,969",7,11,199,220,183,"1,349",755,451,31,112
"..$92,500 to $94,999",404,0,12,57,26,31,277,175,81,4,17
"..$95,000 to $97,499","1,068",6,12,117,119,83,732,429,227,18,57
"..$97,500 to $99,999",511,2,8,89,69,46,296,169,107,11,8
"..$100,000 and over","19,010",50,90,"1,572","1,451","1,091","14,756","7,410","4,566","1,242","1,539"
Median earnings (dollars),"51,734","29,791","31,315","40,510","46,315","50,079","71,961","65,374","80,223","120,515","102,315"
..Standard error (dollars),117,776,292,157,321,400,263,383,948,"3,911","3,567"
Mean earnings (dollars),"70,095","33,963","37,480","48,640","55,993","57,740","95,509","84,380","100,071","162,309","141,557"
..Standard error (dollars) ,449,760,934,519,814,949,832,852,"1,334","4,998","3,933"
Gini ratio,0.407,0.307,0.338,0.338,0.349,0.329,0.395,0.383,0.366,0.426,0.392
..Standard error,0.0028,0.0110,0.0144,0.0059,0.0077,0.0098,0.0038,0.0049,0.0068,0.0095,0.0109
"For more information on the updated processing system, see <www.census.gov/data/datasets/time-series/demo/income-poverty/cps-asec-design.html>.",,,,,,,,,,,
,,,,,,,,,,,
